val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.40123390972065776,0.5581327971257848,0.6063921879566914,0,314,,,
,,,0,314,0.34699368585446755,0.4972670579280237,0.565700131666469
0.46546114550785017,0.6309784471212727,0.6273485101111045,1,629,,,
,,,1,629,0.4900854220858988,0.6505242990033704,0.6656821264935995
0.4680077212913475,0.6313245744010354,0.6410435758343696,2,944,,,
,,,2,944,0.5350715159235,0.690976614395707,0.6965076218158247
0.5144902950871104,0.6685243526485152,0.7201762448154735,3,1259,,,
,,,3,1259,0.5568209788825735,0.7081588732653507,0.7186083110668718
0.5268123261906869,0.6836217853976168,0.7033478787027543,4,1574,,,
,,,4,1574,0.5822602565063877,0.7304853500646391,0.7338199755750361
0.5147525876171466,0.6681970864297964,0.6956686372088516,5,1889,,,
,,,5,1889,0.597668973637479,0.742696625519539,0.7429492805818723
0.5254921591120263,0.6728542116717107,0.7296123883061345,6,2204,,,
,,,6,2204,0.5986521800986329,0.7425477608992254,0.7491242515070062
0.5262413483143108,0.6850325962031969,0.6955221999039765,7,2519,,,
,,,7,2519,0.608864629732774,0.7511475380080659,0.7546354002591207
0.5465787182087236,0.6975003603876504,0.7284316541378015,8,2834,,,
,,,8,2834,0.6212145989368643,0.7611958458350045,0.7635963513664419
0.5451474740737257,0.696397316977544,0.7235912338566894,9,3149,,,
,,,9,3149,0.6315811389639829,0.7697868643337431,0.7707883749375561
0.5020220761037772,0.6550831441536334,0.6983550087571495,10,3464,,,
,,,10,3464,0.6355013422320583,0.7725774153831351,0.7729403150284899
0.5576222164370921,0.709263428987472,0.7314128790076135,11,3779,,,
,,,11,3779,0.6455845185955666,0.7806390018698239,0.777464822667756
0.5515071347801384,0.7050156981611119,0.72922730274635,12,4094,,,
,,,12,4094,0.6531039551361852,0.7867074189534351,0.7839271900299208
0.5449229782640101,0.6958453212649098,0.7270535821916183,13,4409,,,
,,,13,4409,0.6549760862936511,0.7884235024577346,0.7847133010778753
0.5497606221797346,0.6987457140954473,0.7287732685521795,14,4724,,,
,,,14,4724,0.6612774645538269,0.7929004895974765,0.7894656293159301
0.5459098908014168,0.6981057357071869,0.7284026188493491,15,5039,,,
,,,15,5039,0.6638462893345378,0.7944907530995254,0.7914646090048244
0.5427828572091467,0.6901829609239292,0.7258592147694908,16,5354,,,
,,,16,5354,0.6696832774773898,0.7990242094145997,0.7951926038027702
0.5535909117550301,0.7038143318818189,0.7326375886905041,17,5669,,,
,,,17,5669,0.6700905916172056,0.7988317654409056,0.7966600977673951
0.5594519597878673,0.7065394603753198,0.7380631598195604,18,5984,,,
,,,18,5984,0.6777199269261796,0.8047209511265696,0.801806250274352
0.5500102705955782,0.6986348593125284,0.7329490918011271,19,6299,,,
,,,19,6299,0.6790488812962256,0.8060378231281794,0.8029903918027205
0.5476943330749278,0.6995432178219614,0.7186228934252474,20,6614,,,
,,,20,6614,0.6834886046136235,0.8092863839208331,0.8043308409281318
0.5461055418157928,0.6938108699249175,0.7333747295960198,21,6929,,,
,,,21,6929,0.6871833150046927,0.8116853499147159,0.8078026634332722
0.5368082594991629,0.6833421840783759,0.7312702636527004,22,7244,,,
,,,22,7244,0.6926859058276456,0.8160185646110756,0.8120468657137334
0.5452691258982129,0.6949422356035438,0.732744604250029,23,7559,,,
,,,23,7559,0.6935731169049346,0.8168864435567317,0.8117673624268688
0.5323531065088422,0.6823993268859079,0.7165316642101148,24,7874,,,
,,,24,7874,0.7008265041992161,0.8219241917072126,0.8175076658216971
0.5505210462032947,0.6999962252505342,0.7271740745510691,25,8189,,,
,,,25,8189,0.6967122488918547,0.8183814241145049,0.81693641371514
0.5455971357942071,0.6940195490434773,0.7274040133116526,26,8504,,,
,,,26,8504,0.7106113584548821,0.8290568376123817,0.823691728822848
0.5475336451800815,0.6960880642346516,0.7321207778809887,27,8819,,,
,,,27,8819,0.7096637269836112,0.8275982053647042,0.8254235521161127
0.5435754900408738,0.6937121305217684,0.7205351739274917,28,9134,,,
,,,28,9134,0.7095925463087052,0.8282815036551918,0.8220420716084667
0.5503298432479737,0.6997815927869626,0.731498522792408,29,9449,,,
,,,29,9449,0.7152637290934982,0.8322682843625813,0.8267402969749937
0.5552728289090162,0.7064109708025179,0.7260716928462172,30,9764,,,
,,,30,9764,0.7154944778030926,0.8321493128645654,0.8287743353052099
0.5585724763448605,0.7069078038468173,0.735991171625648,31,10079,,,
,,,31,10079,0.7204656376043629,0.8356197630640824,0.8309806455862849
0.5564570266717319,0.7039808546334125,0.7320436922731257,32,10394,,,
,,,32,10394,0.7260155949395349,0.8395201605059883,0.8347606812258912
0.5500671357903026,0.6959503772236997,0.7372967633804737,33,10709,,,
,,,33,10709,0.7255400219863062,0.8391126613494322,0.8359664777764131
0.532813161581797,0.6844393667201732,0.711674870707705,34,11024,,,
,,,34,11024,0.727157868813806,0.8403325794484984,0.8354207651250418
0.5514988269986096,0.6987814710750007,0.7353591643408866,35,11339,,,
,,,35,11339,0.7328915290353799,0.8441511259986836,0.8393008488177545
0.5486980772763894,0.6961172107523118,0.7343988901270728,36,11654,,,
,,,36,11654,0.7347956655612764,0.8455868598991902,0.8408003320484958
0.5529979137572407,0.7026355314219015,0.7275387435915255,37,11969,,,
,,,37,11969,0.7336635087540824,0.8447759070802754,0.8412075945808528
0.5457564527977743,0.694362062084796,0.7238922980101443,38,12284,,,
,,,38,12284,0.7394480855773047,0.8488792436049197,0.8435931184737421
0.5554836227983162,0.7036595968862076,0.7327749713420382,39,12599,,,
,,,39,12599,0.7352119285816516,0.8457811022159449,0.8416287761094703
0.5552837670094388,0.7009913434684882,0.7410416478941355,40,12914,,,
,,,40,12914,0.7450262425776191,0.8525556908102995,0.8460149572394501
0.548159601023694,0.6949629719426096,0.7365630768901762,41,13229,,,
,,,41,13229,0.741526655980639,0.8501444303267911,0.8466813555566967
0.555813174659697,0.7050310582593611,0.7344553175254444,42,13544,,,
,,,42,13544,0.7431523164287912,0.8513820875919351,0.8451943551092168
0.5492881822663693,0.6998847726084676,0.7213792872567406,43,13859,,,
,,,43,13859,0.7433919237184698,0.8513399913363374,0.8460707229917916
0.5561381794809969,0.7058488225667345,0.726175620915028,44,14174,,,
,,,44,14174,0.7478949047229235,0.8544598452750116,0.850052580185127
0.5570939542314379,0.705364842792887,0.7326602354011391,45,14489,,,
,,,45,14489,0.7529466570489943,0.8577834691432323,0.8518062171672884
0.5473048230417652,0.6961125724588866,0.7251109159543214,46,14804,,,
,,,46,14804,0.7544930364979384,0.8588364666703444,0.8528877220756639
0.5488239031357629,0.6958745750692152,0.7289284268837354,47,15119,,,
,,,47,15119,0.753622116480998,0.8583601802124217,0.8529782016394607
0.5500021815397951,0.6958551520462035,0.7357421819728414,48,15434,,,
,,,48,15434,0.7579047098913607,0.8612131335444186,0.8545808851619562
0.5474093559238038,0.6945210768835177,0.7318293646788152,49,15749,,,
,,,49,15749,0.7558408829947749,0.859758644937714,0.8542541159755477
0.5509270147666998,0.6973123177299515,0.7334788935165919,50,16064,,,
