val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.809449389830529,0.8925453843157112,0.8733459360195853,0,593,,,
,,,0,593,0.5808604433066278,0.7323431190861887,0.7393354757689288
0.8292300452414554,0.9047212295311968,0.8888849683456602,1,1187,,,
,,,1,1187,0.699765442916691,0.8212345088775501,0.815467494817606
0.846497450513919,0.9152354192485277,0.8997071595942276,2,1781,,,
,,,2,1781,0.7337240771793156,0.8446867699601017,0.8414810000846683
0.8511163813765452,0.9182727931735436,0.9053863928010097,3,2375,,,
,,,3,2375,0.7470703329011495,0.8535384878600657,0.8516073872701443
0.8405468601140418,0.9120673110087174,0.8957640685968571,4,2969,,,
,,,4,2969,0.7612509747746262,0.8628597379879501,0.8632803152350509
0.853394743848825,0.9193205286721492,0.9052243193466335,5,3563,,,
,,,5,3563,0.7722714441729215,0.8698331263089358,0.8730407412293874
0.8438327197212047,0.913846362460804,0.8991569421532535,6,4157,,,
,,,6,4157,0.7810497599726984,0.8755926516583803,0.8785347722685386
0.8542673817442037,0.920148117865997,0.9053093864387968,7,4751,,,
,,,7,4751,0.7954624361894654,0.8846845422139349,0.8890436909593895
0.8570727908117834,0.9214578237574889,0.9100767534351923,8,5345,,,
,,,8,5345,0.796153992080914,0.8850332190563124,0.8906725645511284
0.8618194691590658,0.9244504140302464,0.9109736260631882,9,5939,,,
,,,9,5939,0.8028752225751008,0.8891205288766695,0.8952764053715778
0.8629014500959136,0.9252756545894141,0.9130781409494085,10,6533,,,
,,,10,6533,0.810702482413886,0.8940897946561106,0.9005946192543381
0.8652996363590604,0.9265006724227547,0.9143805454037206,11,7127,,,
,,,11,7127,0.815533958616675,0.8969537835029143,0.9041245614282656
0.8610583836209991,0.9240926602801571,0.9116576499315554,12,7721,,,
,,,12,7721,0.8193163450485128,0.8992295555850863,0.9066918526880312
0.8600395941410597,0.9236139270245152,0.9110869036447125,13,8315,,,
,,,13,8315,0.8215824335952127,0.9006252483119432,0.9087497819642918
0.8563991008872962,0.9215422778879652,0.9084678005457075,14,8909,,,
,,,14,8909,0.824580925686916,0.902451940490548,0.9094401936472198
0.8520650139032185,0.9189688504106316,0.904825537579574,15,9503,,,
,,,15,9503,0.7951844646728019,0.8843709938232529,0.889515706585714
