val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.5924274509732599,0.8469279318361345,0.8701373331022395,0,85,,,
,,,0,85,0.4451632232998306,0.5670638166669808,0.7123206493466399
0.6823898678356384,0.7778953617446709,0.9009830496390924,1,171,,,
,,,1,171,0.5583920290916418,0.6567412089822224,0.8223533741263456
0.7747646686619408,0.8666280016958408,0.9180567120982712,2,257,,,
,,,2,257,0.6629029304039378,0.7853249431886249,0.847455202147018
0.7844156379408178,0.8733242174635513,0.9222367088349103,3,343,,,
,,,3,343,0.6919911807763188,0.8096641989494211,0.8587015673171641
0.8124635839258069,0.8936192057512982,0.9255058216956926,4,429,,,
,,,4,429,0.7155082591678452,0.8273781649239709,0.8711960648381432
0.8210485351928745,0.8992186648153155,0.9285629291633668,5,515,,,
,,,5,515,0.7299775369943431,0.8387549320964645,0.8748221009276633
0.814114708811126,0.8946702044930039,0.926208978516502,6,601,,,
,,,6,601,0.7391480449248903,0.8447268749731524,0.8821288097736446
0.8262228833443949,0.9025367651543094,0.9285419580624544,7,687,,,
,,,7,687,0.7536949779827999,0.8549554991114319,0.889261434244555
0.827800217979706,0.9034031031458413,0.9290181147014835,8,773,,,
,,,8,773,0.7581015762873684,0.8582117150640574,0.8906249999999998
0.8318732669077136,0.906067032234761,0.9307742562553492,9,859,,,
,,,9,859,0.7662697441722163,0.8637725790046452,0.8931846618652343
0.835556810094807,0.9083019028617048,0.9332709918111479,10,945,,,
,,,10,945,0.7669942197489228,0.8643481993204111,0.8936250431593074
0.8326670584896897,0.9064664357087155,0.9324435720750561,11,1031,,,
,,,11,1031,0.7720892781619625,0.8678005821271451,0.8968047264010406
0.8352911703184784,0.9081021786364751,0.9334517484848288,12,1117,,,
,,,12,1117,0.7750788994203298,0.8697636299436573,0.8981308438057122
0.8353783153195047,0.9081374279399652,0.9330243561978684,13,1203,,,
,,,13,1203,0.7791912494385012,0.8725459302718097,0.8999779390734295
0.835269130607299,0.9080798839265143,0.9333901564920188,14,1289,,,
,,,14,1289,0.7774839983401918,0.8714596359751335,0.8982620128365448
0.8350612961332521,0.9079746123875653,0.9333328227341338,15,1375,,,
,,,15,1375,0.7579665814591282,0.8580526015959509,0.8905837369519609
0.8275286820649363,0.9032947221969831,0.928954870750152,16,1461,,,
,,,16,1461,0.7702623085494347,0.8666207403344772,0.8944772232410518
0.8250188295200541,0.9014218833162687,0.9253888158031813,17,1547,,,
,,,17,1547,0.7794739373927236,0.8727905410927332,0.8992226179255994
0.8222004755982973,0.9002057577997344,0.9234359024063683,18,1633,,,
,,,18,1633,0.7799155999138604,0.8731732307666785,0.9003005970356075
0.8201700531073282,0.8982112170893561,0.9305359905267372,19,1719,,,
,,,19,1719,0.7879927442180557,0.8785206452778507,0.9025477864021477
0.841761182329922,0.9121233227412713,0.934971938288608,20,1805,,,
,,,20,1805,0.7964179351445544,0.8840567181602041,0.9066728214884912
0.8359655135155566,0.9083194481059218,0.9327721985865824,21,1891,,,
,,,21,1891,0.7934523907113209,0.8820182576549604,0.9061916761620099
0.8406570531660971,0.9113406388598179,0.9347533856445567,22,1977,,,
